date,open,high,low,close
2019-08-16 00:00:00,188.05,188.05,187.8,187.8
2019-08-16 00:03:00,187.75,187.8,187.75,187.75
2019-08-16 00:06:00,187.8,187.8,187.0,187.0
2019-08-16 00:09:00,187.0,187.5,186.95,187.35
2019-08-16 00:12:00,187.3,187.55,187.25,187.25
2019-08-16 00:15:00,187.3,187.55,187.3,187.55
2019-08-16 00:18:00,187.55,187.55,187.35,187.35
2019-08-16 00:21:00,187.35,187.5,187.35,187.5
2019-08-16 00:24:00,187.55,187.65,187.55,187.65
2019-08-16 00:27:00,187.6,187.7,187.5,187.55
2019-08-16 00:30:00,187.55,187.8,187.5,187.55
2019-08-16 00:33:00,187.5,187.65,187.3,187.5
2019-08-16 00:36:00,187.5,187.5,187.15,187.25
2019-08-16 00:39:00,187.2,187.2,187.2,187.2
2019-08-16 00:42:00,187.2,187.2,187.05,187.1
2019-08-16 00:45:00,187.05,187.75,187.05,187.75
2019-08-16 00:48:00,187.75,187.75,187.5,187.5
2019-08-16 00:51:00,187.55,187.55,187.2,187.2
2019-08-16 00:54:00,187.15,187.15,186.65,186.75
2019-08-16 00:57:00,186.7,186.9,186.5,186.5
2019-08-16 01:00:00,186.5,186.95,186.5,186.95
2019-08-16 01:03:00,186.95,186.95,186.85,186.9
2019-08-16 01:06:00,186.85,187.2,186.75,187.15
2019-08-16 01:09:00,187.2,187.2,187.15,187.2
2019-08-16 01:12:00,187.2,187.8,187.2,187.6
2019-08-16 01:15:00,187.6,187.95,187.4,187.95
2019-08-16 01:18:00,188.0,188.15,187.85,188.05
2019-08-16 01:21:00,188.05,188.1,187.95,187.95
2019-08-16 01:24:00,187.95,187.95,187.9,187.95
2019-08-16 01:27:00,187.9,187.95,187.65,187.7
2019-08-16 01:30:00,187.7,187.7,187.65,187.65
2019-08-16 01:33:00,187.65,187.7,187.6,187.6
2019-08-16 01:36:00,187.65,187.65,187.6,187.65
2019-08-16 01:39:00,187.65,187.8,187.65,187.8
2019-08-16 01:42:00,187.85,187.85,187.8,187.85
2019-08-16 01:45:00,187.8,187.8,187.6,187.6
2019-08-16 01:48:00,187.6,187.65,187.6,187.6
2019-08-16 01:51:00,187.55,187.6,187.5,187.55
2019-08-16 01:54:00,187.55,187.55,187.35,187.4
2019-08-16 01:57:00,187.4,187.4,187.3,187.3
2019-08-16 02:00:00,187.25,187.35,187.25,187.35
2019-08-16 02:03:00,187.35,187.35,187.3,187.35
2019-08-16 02:06:00,187.35,187.4,187.3,187.4
2019-08-16 02:09:00,187.45,187.65,187.3,187.6
2019-08-16 02:12:00,187.6,187.65,187.6,187.65
2019-08-16 02:15:00,187.65,187.75,187.65,187.7
2019-08-16 02:18:00,187.75,187.75,187.5,187.5
2019-08-16 02:21:00,187.5,187.65,187.5,187.6
2019-08-16 02:24:00,187.6,187.65,187.55,187.55
2019-08-16 02:27:00,187.5,187.5,187.3,187.35
2019-08-16 02:30:00,187.3,187.35,187.3,187.35
2019-08-16 02:33:00,187.35,187.4,187.25,187.25
2019-08-16 02:36:00,187.25,187.25,187.15,187.15
2019-08-16 02:39:00,187.2,187.2,187.15,187.15
2019-08-16 02:42:00,187.2,187.3,187.15,187.2
2019-08-16 02:45:00,187.25,187.25,187.15,187.15
2019-08-16 02:48:00,187.15,187.2,187.15,187.2
2019-08-16 02:51:00,187.15,187.15,186.85,186.85
2019-08-16 02:54:00,186.85,186.85,186.75,186.8
2019-08-16 02:57:00,186.75,186.75,186.35,186.45
2019-08-16 03:00:00,186.45,186.45,186.25,186.25
2019-08-16 03:03:00,186.3,186.3,186.05,186.05
2019-08-16 03:06:00,186.05,186.15,186.0,186.05
2019-08-16 03:09:00,186.1,186.3,185.8,186.3
2019-08-16 03:12:00,186.3,186.3,186.1,186.15
2019-08-16 03:15:00,186.1,186.2,186.1,186.2
2019-08-16 03:18:00,186.2,186.2,186.15,186.15
2019-08-16 03:21:00,186.15,186.15,185.95,185.95
2019-08-16 03:24:00,185.9,185.95,185.85,185.85
2019-08-16 03:27:00,185.85,185.85,185.5,185.6
2019-08-16 03:30:00,185.6,185.85,185.55,185.85
2019-08-16 03:33:00,185.85,185.85,185.8,185.85
2019-08-16 03:36:00,185.8,185.9,185.8,185.9
2019-08-16 03:39:00,185.9,185.95,185.9,185.95
2019-08-16 03:42:00,186.0,186.4,186.0,186.4
2019-08-16 03:45:00,186.35,186.8,186.35,186.8
2019-08-16 03:48:00,186.75,186.95,186.75,186.95
2019-08-16 03:51:00,186.95,186.95,186.9,186.95
2019-08-16 03:54:00,186.95,186.95,186.85,186.9
2019-08-16 03:57:00,186.9,186.9,186.8,186.8
2019-08-16 04:00:00,186.85,187.0,186.8,187.0
2019-08-16 04:03:00,187.0,187.0,186.6,186.6
2019-08-16 04:06:00,186.6,186.6,186.55,186.55
2019-08-16 04:09:00,186.55,186.55,186.0,186.25
2019-08-16 04:12:00,186.2,186.25,186.2,186.2
2019-08-16 04:15:00,186.2,186.2,186.0,186.0
2019-08-16 04:18:00,186.0,186.05,185.65,185.8
2019-08-16 04:21:00,185.75,185.9,185.75,185.8
2019-08-16 04:24:00,185.8,186.25,185.8,186.25
2019-08-16 04:27:00,186.2,186.25,186.0,186.0
2019-08-16 04:30:00,186.0,186.0,185.65,185.7
2019-08-16 04:33:00,185.7,185.85,185.65,185.85
2019-08-16 04:36:00,185.85,185.95,185.85,185.9
2019-08-16 04:39:00,185.95,185.95,185.15,185.15
2019-08-16 04:42:00,185.2,185.4,185.1,185.35
2019-08-16 04:45:00,185.4,185.4,184.6,184.9
2019-08-16 04:48:00,184.9,185.2,184.85,184.85
2019-08-16 04:51:00,184.9,184.95,183.8,184.1
2019-08-16 04:54:00,184.1,184.65,183.9,184.6
2019-08-16 04:57:00,184.65,184.65,184.05,184.1
2019-08-16 05:00:00,184.1,184.35,183.35,184.25
2019-08-16 05:03:00,184.3,184.45,184.1,184.1
2019-08-16 05:06:00,184.15,184.35,183.9,183.95
2019-08-16 05:09:00,183.9,183.9,183.2,183.4
2019-08-16 05:12:00,183.45,183.5,182.1,182.45
2019-08-16 05:15:00,182.4,183.25,182.4,182.7
2019-08-16 05:18:00,182.75,183.15,182.4,183.1
2019-08-16 05:21:00,183.1,183.35,182.95,183.0
2019-08-16 05:24:00,183.05,183.6,183.05,183.35
2019-08-16 05:27:00,183.4,183.4,182.7,182.7
2019-08-16 05:30:00,182.7,182.7,181.6,182.0
2019-08-16 05:33:00,182.0,182.0,180.9,181.05
2019-08-16 05:36:00,181.15,181.25,180.2,181.15
2019-08-16 05:39:00,181.15,181.8,180.75,181.55
2019-08-16 05:42:00,181.5,182.15,181.1,181.1
2019-08-16 05:45:00,181.15,181.2,180.8,181.0
2019-08-16 05:48:00,181.0,181.0,180.05,180.85
2019-08-16 05:51:00,180.8,181.35,180.8,181.1
2019-08-16 05:54:00,181.1,181.4,181.05,181.05
2019-08-16 05:57:00,181.1,181.9,181.05,181.85
2019-08-16 06:00:00,181.85,181.95,181.4,181.4
2019-08-16 06:03:00,181.4,181.9,181.4,181.9
2019-08-16 06:06:00,181.9,181.9,181.7,181.75
2019-08-16 06:09:00,181.75,181.75,181.65,181.7
